Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
SHELL TRADING ROTTERDAM B.V.,ROTTERDAM,NL,4671,U1,n.v.,SHELL PLC,WEENA 505,3013 AL,Rotterdam,Niederlande,51.9237047,4.471875,Netherlands
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,PARIS,FR,7830,C2,67778,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",75 QUAI D ORSAY,75007,Paris,Frankreich,48.8622331,2.3047133,France
ESSO NEDERLAND B.V.,BOTLEK ROTTERDAM,NL,1920,U1,826,EXXON MOBIL CORP,BOTLEKWEG 121 HAVENNUMMER,3197 KA,Rotterdam,Niederlande,51.870317,4.300543,Netherlands
SEEHG SECURING ENERGY FOR EUROPE HOLDING GMBH,BERLIN,DE,6420,C1,1362,BUNDESREPUBLIK DEUTSCHLAND,MARKGRAFENSTR. 23,10117,Berlin,Deutschland,52.5083233,13.3943543,Germany
NORSK HYDRO ASA,OSLO,NO,2442,C2,404,NORSK HYDRO ASA,DRAMMENSVEIEN 264,0283,Oslo,Norwegen,59.913821,10.650463,Norway
SHELL FRANCE,PUTEAUX,FR,4671,U1,n.v.,SHELL PLC,"11 13 TOUR PACIFIC, 11 COURS VALMY",92800,Hauts-de-Seine,Frankreich,48.892065,2.232525,France
CHIMET - S.P.A.-,CIVITELLA IN VAL DI CHIANA,IT,2440,U1,149,MR ANDREA SQUARCIALUPI,VIA DEI LAGHI 31/33,52041,Arezzo,Italien,43.408606,11.777862,Italy
DOW DEUTSCHLAND ANLAGENGESELLSCHAFT MBH,STADE,DE,2013,U1,10,DOW INC.,BÜTZFLETHER SAND,21683,Stade,Deutschland,53.6465124,9.4482207,Germany
ARKEMA FRANCE,COLOMBES,FR,2014,U1,5601,ARKEMA,420 RUE D ESTIENNE D ORVES,92700,Hauts-de-Seine,Frankreich,48.9086455,2.2295618,France
AIR LIQUIDE INDUSTRIEGASE GMBH & CO. KG,DÜSSELDORF,DE,2110,C1,4389,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",HANS-BÖCKLER-STR.,40476,Düsseldorf,Deutschland,51.247092,6.775832,Germany
NOBIAN HOLDING B.V.,AMERSFOORT,NL,6420,C1,1505,"CARLYLE CYAN PARTNERS, S.C.SP",VAN ASCH VAN WIJCKSTRAAT 53,3811 LP,Amersfoort,Niederlande,52.1547893,5.3811031,Netherlands
TECHNIP ENERGIES FRANCE,NANTERRE,FR,7112,U1,2524,TECHNIP ENERGIES N.V,"IMMEUBLE ORIGINE, 2126 BOULEVARD DE LA DEFENSE",92000,Hauts-de-Seine,Frankreich,48.905268,2.21587,France
YARA SLUISKIL B.V.,SLUISKIL,NL,2015,U1,705,YARA INTERNATIONAL ASA,INDUSTRIEWEG 10,4541 HJ,Terneuzen,Niederlande,51.2718292,3.8489673,Netherlands
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.,PUŁAWY,PL,2015,C2,4744,GRUPA AZOTY S.A.,ALEJA TYSIĄCLECIA PAŃSTWA POLSKIEGO 13,24-110,Puławski,Polen,51.450864,21.984228,Poland
AIR LIQUIDE FRANCE INDUSTRIE,PARIS,FR,2011,U1,2386,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France
INEOS KÖLN GMBH,KÖLN,DE,1920,U1,15,MR JAMES ARTHUR RATCLIFFE,ALTE STR. 201,50769,Köln,Deutschland,51.0672984,6.8466247,Germany
SOL S.P.A.,MONZA,IT,2011,C2,5426,STICHTING AIRVISION,VIA GEROLAMO BORGAZZI 27,20900,Monza e della Brianza,Italien,45.5702884,9.2655581,Italy
SHELL AUSTRIA GESELLSCHAFT M.B.H.,WIEN,AT,4671,U1,86,SHELL PLC,TECH GATE DONAU-CITY-STRAßE 1,1220,Wien,Österreich,48.23265325,16.41360576954463,Austria
AIR LIQUIDE INDUSTRIE B.V.,ROTTERDAM,NL,2011,U1,176,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",WEENA 312,3012 NJ,Rotterdam,Niederlande,51.9232371,4.473656,Netherlands
NOBIAN COÖPERATIEF U.A.,AMERSFOORT,NL,6420,C1,1545,"CARLYLE CYAN PARTNERS, S.C.SP",VAN ASCH VAN WIJCKSTRAAT 53,3811 LP,Amersfoort,Niederlande,52.1547893,5.3811031,Netherlands
SHELL INTERNATIONAL B.V.,'S-GRAVENHAGE,NL,0910,U1,797,SHELL PLC,CAREL VAN BYLANDTLAAN 30,2596 HR,S Gravenhage,Niederlande,52.0936744,4.3130672,Netherlands
SHELL ERDGAS BETEILIGUNGSGESELLSCHAFT MBH,HAMBURG,DE,6420,U1,3,SHELL PLC,SUHRENKAMP 71-77,22335,"Hamburg, Freie und Hansestadt",Deutschland,53.6212995,10.0152091,Germany
HYDRO ENERGI AS,OSLO,NO,3511,U1,312,NORSK HYDRO ASA,VÆKERØ DRAMMENSVEIEN 264,0283,Oslo,Norwegen,59.9199739,10.6739503,Norway
CAMPA IBERIA SOCIEDAD ANONIMA,BARCELONA,ES,4612,U1,14,MUSIM MAS HOLDINGS PTE. LTD.,"CALLE VIA LAIETANA, 47 P. 3 PTA. 1",08003,Barcelona,Spanien,41.3868431,2.1747496,Spain
SERICA ENERGY (UK) LIMITED,LONDON,GB,0610,U1,n.v.,SERICA ENERGY PLC,FIRST FLOOR 48 GEORGE STREET,W1U 7DY,London W1U,Vereinigtes Königreich,51.5177622,-0.1544287302003685,United Kingdom
AIR PRODUCTS IBERICA S.L.,CORNELLA DE LLOBREGAT,ES,6420,C2,2364,AIR PRODUCTS & CHEMICALS INC,"AVENIDA FAMA, 1",08940,Barcelona,Spanien,41.353691,2.081739,Spain
VOSS HOLDING GMBH + CO. KG,WIPPERFÜRTH,DE,7010,C1,6307,HANS HERMANN VOSS-STIFTUNG,LEIERSMÜHLE,51688,Oberbergischer Kreis,Deutschland,51.121742,7.409916,Germany
АКЦИОНЕРНОЕ ОБЩЕСТВО ТРАНСНЕФТЬ-ПРИВОЛГА,САМАРА,RU,4950,U1,7106,Правительство Российской Федерации,УЛ. ЛЕНИНСКАЯ Д.100,443020,Самарская область,Russische Föderation,52.256653,25.131889,Russia
AIR LIQUIDE ITALIA PRODUZIONE SRL,MILANO,IT,2011,U1,234,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",VIA BISCEGLIE 66,20152,Milano,Italien,,,Italy
CG CHEMIKALIEN GMBH & CO. HOLDING KG,LAATZEN,DE,7010,C1,821,CG CHEMIKALIEN GMBH & CO. HOLDING KG,ULMER STR. 1,30880,Hannover,Deutschland,52.322758,9.791467,Germany
SHELL INTERNATIONAL LIMITED,LONDON,GB,8299,U1,943,SHELL PLC,SHELL CENTRE,SE1 7NA,London SE1,Vereinigtes Königreich,51.5038502,-0.1167733632104527,United Kingdom
ANQORE TOPCO B.V.,URMOND,NL,6420,C1,158,ANQORE TOPCO B.V.,MAURITSLAAN 49,6129 EL,Stein,Niederlande,50.9889329,5.7790094,Netherlands
NOURYON PULP AND PERFORMANCE CHEMICALS AB,GÖTEBORG,SE,2016,U1,718,CARLYLE GROUP INC. (THE),BOX 47067,402 58,Västra Götaland,Schweden,,,Sweden
INOVYN CHLORVINYLS LIMITED,RUNCORN,GB,2014,U1,609,MR JAMES ARTHUR RATCLIFFE,BANKES LANE OFFICE BANKES LANE,WA7 4EL,Runcorn,Vereinigtes Königreich,53.31938775,-2.7409214911639466,United Kingdom
VAISALA OYJ,VANTAA,FI,2651,C2,2327,VAISALA OYJ,VANHA NURMIJÄRVENTIE 21,01670,Uusimaa,Finnland,60.28173365,24.877381757042865,Finland
TREIBACHER INDUSTRIE AG,ALTHOFEN,AT,2120,U1,650,ES-PRIVATSTIFTUNG,AUER-VON-WELSBACH-STRAßE 1,9330,Kärnten,Österreich,46.868858,14.462174,Austria
KT - KINETICS TECHNOLOGY S.P.A. IN BREVE KT S.P.A,ROMA,IT,7112,C2,729,MR AMATO FABRIZIO DI,VLE CASTELLO DELLA MAGLIANA 27,00148,Roma,Italien,,,Italy
ASCEND PERFORMANCE MATERIALS EUROPEAN LIMITED,ALTRINCHAM,GB,2059,U1,n.v.,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,"3RD FLOOR, 1 ASHLEY ROAD",WA14 2DT,Altrincham,Vereinigtes Königreich,53.3842167,-2.3520084,United Kingdom
ORSTED HORNSEA 1 HOLDINGS LIMITED,LONDON,GB,8299,U1,n.v.,KINGDOM OF DENMARK,5 HOWICK PLACE,SW1P 1WG,London SW1P,Vereinigtes Königreich,51.4967767,-0.1360237,United Kingdom
HEXAGON COMPOSITES ASA,ÅLESUND,NO,2222,C2,15,HEXAGON COMPOSITES ASA,KORSEGATA 4B,6002,Ålesund,Norwegen,62.4717804,6.1558055,Norway
SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,MILANO,IT,2011,U1,632,PROGEFIN S.P.A.,VIA SAN MAURILIO 13,20123,Milano,Italien,45.4621398,9.1840325,Italy
SCOTTISHPOWER ENERGY RETAIL LIMITED,GLASGOW,GB,3512,U1,1157,"IBERDROLA, SOCIEDAD ANONIMA",320 ST. VINCENT STREET,G2   5AD,Glasgow,Vereinigtes Königreich,55.8611406,-4.2547627,United Kingdom
ШЕЛ БЪЛГАРИЯ,СОФИЯ,BG,4730,U1,61,SHELL PLC,"СЕРДИКА ОФИСИ, БУЛ. СИТНЯКОВО 48, ЕТ. 8",1505,София - град,Bulgarien,42.6915275,23.353074,Bulgaria
FRIEDRICH VORWERK GROUP SE,TOSTEDT,DE,8299,C2,1644,FRIEDRICH VORWERK GROUP SE,HARBURGER STR. 19,21255,Harburg,Deutschland,53.2846598,9.73611795506789,Germany
SOLVAY QUIMICA SLU,TORRELAVEGA,ES,2013,U1,378,SOLVAY,"AVENIDA ALBERTO I, S/N",39300,Cantabria,Spanien,43.3517,-4.046623,Spain
"AIR LIQUIDE IBERICA DE GASES, SL UNIPERSONAL",MADRID,ES,2011,U1,133,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE","CALLE AGUSTIN DE FOXA, 4 PLANTA 4",28036,Madrid,Spanien,40.467227,-3.688012,Spain
AIR LIQUIDE HYDROGENE,PARIS,FR,2011,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France
WOOD ITALIANA S.R.L.,CORSICO,IT,7112,C2,983,JOHN WOOD GROUP PLC,VIA SEBASTIANO CABOTO 15,20094,Milano,Italien,,,Italy
ARKEMA GMBH,DÜSSELDORF,DE,2059,U1,395,ARKEMA,TERSTEEGENSTR. 28,40474,Düsseldorf,Deutschland,51.2527742,6.7633152,Germany
НЕОХИМ,ДИМИТРОВГРАД,BG,2015,U1,716,НЕОХИМ АД,УЛ. ХИМКОМБИНАТСКА ИЗТОЧНА ИНДУСТРИАЛНА ЗОНА,6403,Хасково,Bulgarien,,,Bulgaria
AIR LIQUIDE GLOBAL E&C SOLUTIONS FRANCE,PARIS,FR,2825,U1,544,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France
SABIC UK PETROCHEMICALS LIMITED,REDCAR,GB,2014,U1,383,المملكة العربية,WILTON,TS10 4RF,Redcar,Vereinigtes Königreich,,,United Kingdom
LINDE SVERIGE AB,SOLNA,SE,7010,U1,626,LINDE PUBLIC LIMITED COMPANY,RÄTTARVÄGEN 3,169 68,Stockholm,Schweden,59.3658558,18.0116545,Sweden
AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI,BEYOGLU,TR,2014,U1,n.v.,AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI,"AK HANI APARTMANI, MIRALAY SEFIKBEY SOKAK NO:15-2, GÜMÜSSUYU MAHALLESI",34437,Istanbul,Türkei,,,Turkey
SOLVAY OPERATIONS FRANCE,LYON,FR,2013,U1,n.v.,SOLVAY,9 RUE DES CUIRASSIERS,69003,Rhône,Frankreich,45.7589629,4.8559931,France
NHOA,PARIS,FR,7112,C2,542,台灣水泥股份有限公司,28 RUE DE LONDRES,75009,Paris,Frankreich,48.8775524,2.328086,France
"AL AIR LIQUIDE ESPAÑA, SA",MADRID,ES,2011,U1,452,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE","CALLE AGUSTIN DE FOXA, 4 PLANTA 4",28036,Madrid,Spanien,40.467227,-3.688012,Spain
NIPPON GASES INDUSTRIAL S.R.L.,MILANO,IT,2011,U1,212,三菱ケミカルグループ株式会社,VIA BENIGNO CRESPI 19,20159,Milano,Italien,45.501241,9.1853063,Italy
LINDE GAS GMBH,STADL-PAURA,AT,2011,U1,320,LINDE PUBLIC LIMITED COMPANY,CARL-VON-LINDE-PLATZ 1,4651,Oberösterreich,Österreich,48.086291,13.8896,Austria
EXIDE TECHNOLOGIES SAS,GENNEVILLIERS,FR,2720,U1,455,ATLAS FRM LLC,5 ALLEE DES PIERRES MAYETTES,92230,Hauts-de-Seine,Frankreich,48.937581,2.301857,France
GASUM CLEAN GAS SOLUTIONS AB,LINKÖPING,SE,4671,U1,10,SUOMEN VALTIO/ALV,"C/O GASUM AB, GJUTERIGATAN 5",582 73,Östergötland,Schweden,58.4170097,15.626440682057416,Sweden
RAINOLDI S.P.A.,LEVATE,IT,4675,U1,46,MR SIMONE BOMBARDIERI,VIA SAN CARLO BORROMEO 36,24040,Bergamo,Italien,,,Italy
CIECH SODA DEUTSCHLAND GMBH & CO. KG,STAßFURT,DE,2013,U1,333,MR KULCZYK SEBASTIAN,AN DER LÖDERBURGER BAHN,39418,Salzlandkreis,Deutschland,51.798492,11.3666873,Germany
SOL GAS PRIMARI S.R.L.,MONZA,IT,2011,U1,60,STICHTING AIRVISION,VIA GEROLAMO BORGAZZI 27,20900,Monza e della Brianza,Italien,45.5702884,9.2655581,Italy
AIR PRODUCTS,AUBERVILLIERS,FR,4675,U1,n.v.,AIR PRODUCTS & CHEMICALS INC,"BAT 221 PARC DES PORTES PARIS BAT 270, 45 AVENUE VICTOR HUGO",93300,Seine-Saint-Denis,Frankreich,48.9022393,2.3695304,France
AIR LIQUIDE UK LIMITED,BIRMINGHAM,GB,3299,U1,347,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE","STATION ROAD, COLESHILL",B46 1JY,Birmingham,Vereinigtes Königreich,52.52843185,-1.8425769500000009,United Kingdom
BIOENERGIE DU SUD-OUEST,MONT,FR,2014,U1,65,"PAN-EUROPEAN INFRASTRUCTURE III, SCSP",ROCADE SUD D ARANCE,64300,Pyrénées-Atlantiques,Frankreich,,,France
JRS PHARMA GMBH & CO. KG,ROSENBERG,DE,4618,LF,38,JOSEF RETTENMAIER HOLDING GMBH & CO.KG,HOLZMÜHLE,73494,Ostalbkreis,Deutschland,49.0139186,10.0647658,Germany
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАТЕХ,АЛЬМЕТЬЕВСК,RU,0610,U1,139,MRS TATYANA STANISLAVOVNA ESAULKOVA,УЛ. МАЯКОВСКОГО Д.116,423450,Республика Татарстан (Татарстан),Russische Föderation,54.8919906,52.30871044747992,Russia
SAPIO LIFE SRL,MONZA,IT,2011,U1,157,PROGEFIN S.P.A.,VIA SILVIO PELLICO 48,20900,Monza e della Brianza,Italien,45.5751829,9.2899946,Italy
LINDE GAS ESPAÑA SOCIEDAD ANONIMA.,PUÇOL,ES,2011,U1,325,LINDE PUBLIC LIMITED COMPANY,"CAMINO LIRIA, S/N APARTADO DE CORREOS, 25",46530,Valencia,Spanien,39.620053,-0.303818,Spain
CERES ENERGY LIMITED,HEXHAM,GB,7490,C2,17,MS HELEN MARY EDWARDS,THE OLD GRAMMAR SCHOOL HALLGATE,NE46 1XD,Hexham,Vereinigtes Königreich,54.9710487,-2.0995561,United Kingdom
ЛУКОЙЛ-ИНЖИНИРИНГ,МОСКВА,RU,7210,U1,2910,ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО НЕФТЯНАЯ КОМПАНИЯ ЛУКОЙЛ,"Б-Р ПОКРОВСКИЙ Д. 3, СТР. 1",109028,г.Москва,Russische Föderation,55.7544969,37.64858351378791,Russia
AIR PRODUCTS SP. Z O.O.,WARSZAWA,PL,2011,U1,570,AIR PRODUCTS & CHEMICALS INC,KOMITETU OBRONY ROBOTNIKÓW 48,02-146,Warszawa,Polen,52.1837838,20.9667251,Poland
WESTENERGIE NETZSERVICE GMBH,DORTMUND,DE,7112,U1,105,E.ON SE,FLORIANSTR. 15- 21,44139,Dortmund,Deutschland,51.4978601,7.4716388,Germany
T.EN NETHERLANDS B.V.,ZOETERMEER,NL,7112,U1,283,TECHNIP ENERGIES N.V,AFRIKAWEG 30,2713 AW,Zoetermeer,Niederlande,52.0584438,4.4814249,Netherlands
OCI METHANOL MARKETING B.V.,AMSTERDAM,NL,2014,U1,19,OCI CLEAN FUELS LIMITED,WILLEMSPARKWEG 193,1071 HA,Amsterdam,Niederlande,52.3556191,4.8697087,Netherlands
VESKIM KIMYEVI MADDE ITHALAT IHRACAT ANONIM SIRKETI,SARIYER,TR,2014,U1,n.v.,,"PARK PLAZA KAT:20 MASLAK, ESKI BÜYÜKDERE CADDESI, RESITPASA MAHALLESI",34467,Istanbul,Türkei,41.107388,29.01506595506453,Turkey
CYTEC INDUSTRIES B.V.,ROTTERDAM,NL,2016,U1,17,SOLVAY,WEENA 505 KAMER 30.10,3013 AL,Rotterdam,Niederlande,51.9237047,4.471875,Netherlands
AIREDALE CHEMICAL COMPANY LIMITED,KEIGHLEY,GB,2013,U1,116,MR CHRISTOPHER JOHN CHADWICK,"AIREDALE MILLS, SKIPTON ROAD, CROSS HILLS",BD20 7BX,Keighley,Vereinigtes Königreich,53.87067055,-1.8874569,United Kingdom
LINDE GAZ POLSKA SP. Z O.O.,KRAKÓW,PL,2011,U1,365,LINDE PUBLIC LIMITED COMPANY,PROF. MICHAŁA ŻYCZKOWSKIEGO 17,31-864,Kraków,Polen,50.078691,19.994366,Poland
SCHMIDT-CLEMENS SPAIN SAU,MURIETA,ES,2420,U1,222,SCHMIDT + CLEMENS GMBH + CO. KG,"CALLE POLIGONO INDUSTRIAL, 2",31280,Navarra,Spanien,,,Spain
INEOS SALES NORGE AS,STATHELLE,NO,4675,U1,0,MR JAMES ARTHUR RATCLIFFE,ASDALSTRAND 291,3962,Bamble,Norwegen,59.0807361,9.6179642,Norway
АКЦИОНЕРНОЕ ОБЩЕСТВО КРЫМСКИЙ СОДОВЫЙ ЗАВОД,КРАСНОПЕРЕКОПСК,UA,2013,U1,2601,DWARA TRADING LIMITED,УЛ. ПРОЕКТНАЯ Д. 1,296002,КРЫМ АР,Ukraine,,,Ukraine
SHELL GLOBAL SOLUTIONS (DEUTSCHLAND) GMBH,HAMBURG,DE,7200,U1,247,SHELL PLC,HOHE-SCHAAR-STR. 36,21107,"Hamburg, Freie und Hansestadt",Deutschland,53.478812,9.979209,Germany
CCB HOLDING AS,ÅGOTNES,NO,5222,C2,0,CCB HOLDING AS,TRANESVEGEN 22,5347,Øygarden,Norwegen,60.411856,5.012415,Norway
SOLIGON S.P.A.,SANTA LUCIA DI PIAVE,IT,4677,U1,23,MRS REGINA GIOTTO,VIA FORESTO SUD 19,31025,Treviso,Italien,45.841456,12.26808,Italy
PISCINES DESJOYAUX SA,LA FOUILLOUSE,FR,2223,C2,324,DESJOYAUX FINANCE,42 AVENUE BENOIT FOURNEYRON,42480,Loire,Frankreich,45.523003,4.286732,France
JOHNSON MATTHEY CHEMICALS GMBH,EMMERICH,DE,2010,U1,195,MATTHEY FINANCE B.V.,WARDSTR. 17,46446,Kleve,Deutschland,51.83446975,6.231279568518584,Germany
ГАЗПРОМ МЕЖРЕГИОНГАЗ ОРЁЛ,ОРЕЛ,RU,4671,U1,186,Правительство Российской Федерации,УЛ ЛЕНИНА Д.30,302028,Орловская область,Russische Föderation,50.7536,41.974695,Russia
AIR PRODUCTS HOLDINGS GMBH,HATTINGEN,DE,6420,C2,184,PRODAIR CORPORATION THE CORPORATION TRUST CENTER,HÜTTENSTR.,45527,Ennepe-Ruhr,Deutschland,51.4021423,7.187992345207256,Germany
QUAKER HOUGHTON B.V.,UITHOORN,NL,2059,U1,181,QUAKER CHEMICAL CORP,INDUSTRIEWEG 7,1422 AH,Uithoorn,Niederlande,52.238248,4.8321727,Netherlands
PETROLVALVES S.P.A.,MILANO,IT,2814,C2,554,TBG AG,VLE LUIGI MAJNO 17/A,20122,Milano,Italien,,,Italy
STICHTING NUCLEAR RESEARCH AND CONSULTANCY GROUP,PETTEN,NL,7219,C1,657,STICHTING NUCLEAR RESEARCH AND CONSULTANCY GROUP,WESTERDUINWEG 3 32,1755 LE,Schagen,Niederlande,52.7832649,4.6745571,Netherlands
HARSCO METALS GROUP LIMITED,LEATHERHEAD,GB,7010,U1,494,ENVIRI CORP,"HARSCO HOUSE, REGENT PARK, 297-299 KINGSTON ROAD",KT22 7SG,Leatherhead,Vereinigtes Königreich,51.36979515,-0.3057306971928977,United Kingdom
BIOGEEN GMBH,MÜNSTER,DE,7112,C2,n.v.,Lux Investments Company S.à r.l.,AM MITTELHAFEN 10,48155,Münster,Deutschland,51.9507833,7.6403024,Germany
PIPELIFE SVERIGE AKTIEBOLAG,LJUNG,SE,2221,U1,260,WIENERBERGER AG,INDUSTRIVÄGEN 1,524 41,Västra Götaland,Schweden,57.98990785,13.01704635,Sweden
EVOLVIENT CAPITAL LIMITED,LONDON,GB,7810,C1,n.v.,EVOLVIENT CAPITAL LIMITED,1 POULTRY,EC2R 8EJ,London EC2R,Vereinigtes Königreich,51.513355,-0.0908549,United Kingdom
SHELL CATALYSTS & TECHNOLOGIES LEUNA GMBH,LEUNA,DE,2059,U1,141,SHELL PLC,AM HAUPTTOR,06237,Saalekreis,Deutschland,51.3198623,12.0147488,Germany
MORGAN LOVELL PLC,LONDON,GB,4120,U1,160,MORGAN SINDALL GROUP PLC,"KENT HOUSE, 14-17 MARKET PLACE",W1W 8AJ,London W1W,Vereinigtes Königreich,51.5162032,-0.1400153,United Kingdom
HPL MOTORS GROUP LIMITED,OLDHAM,GB,4511,C1,129,丸紅株式会社,396 MANCHESTER ROAD,OL9 7PQ,Oldham,Vereinigtes Königreich,53.5252746,-2.1387153,United Kingdom
MESSER POLSKA SP. Z O.O.,CHORZÓW,PL,4675,C2,n.v.,MESSER INDUSTRIE GMBH,MACIEJKOWICKA 30,41-503,Chorzów,Polen,50.317104,18.981308,Poland
FABER INDUSTRIE S.P.A.,CIVIDALE DEL FRIULI,IT,2529,C2,425,FAFIN S.R.L.,VIA DELL'INDUSTRIA 64,33043,Udine,Italien,46.0852989,13.3890843,Italy
ALTAIR CHEMICAL S.R.L.,VOLTERRA,IT,2059,U1,87,SAN MARTINO S.P.A.,VIA MOIE VECCHIE 13,56048,Pisa,Italien,43.35909,10.81458,Italy
ФОСАГРО-СТАВРОПОЛЬ,СТАВРОПОЛЬ,RU,4675,U1,66,ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ФОСАГРО,УЛ. ЛЕРМОНТОВА Д.189/1,355000,Ставропольский край,Russische Föderation,45.0353724,41.96539368501202,Russia
AIR PRODUCTS IRELAND LIMITED,DUBLIN,IE,2011,U1,43,AIR PRODUCTS & CHEMICALS INC,"UNIT 950, WESTERN INDUSTRIAL EST, KILLEEN ROAD, DUBLIN 12",D12 XP58,Dublin,Irland,53.3204396,-6.2583108,Ireland
NIPPON GASES NORGE AS,OSLO,NO,2011,U1,202,三菱ケミカルグループ株式会社,RINGNESVEIEN 50,0978,Oslo,Norwegen,59.95835,10.896954,Norway
SHELL CHEMICALS U.K. LIMITED,LONDON,GB,2014,U1,n.v.,SHELL PLC,"SHELL CENTRE, YORK ROAD",SE1 7NA,London SE1,Vereinigtes Königreich,,,United Kingdom
АКЦИОНЕРНОЕ ОБЩЕСТВО КРИОГЕННОГО МАШИНОСТРОЕНИЯ,БАЛАШИХА,RU,2825,U1,1266,"""Газпромбанк"" (Акционерное общество)",ПР-КТ ЛЕНИНА Д.67,143907,Московская область,Russische Föderation,55.88108,37.709528,Russia
MEXICHEM UK LIMITED,RUNCORN,GB,2011,U1,242,ORBIA ADVANCE CORPORATION,402 THE HEATH BUSINESS & TECHNICAL,WA7 4QX,Runcorn,Vereinigtes Königreich,53.2463168,-2.4805646984104603,United Kingdom
MESSER TEHNOGAS AD BEOGRAD,BEOGRAD (RAKOVICA),RS,2011,U1,341,MESSER INDUSTRIE GMBH,BANJIČKI PUT 62,11090,Belgrade,Serbien,,,Serbia
GEOSEL MANOSQUE,RUEIL MALMAISON,FR,5210,U1,3,GOVERNMENT OF FRANCE,2 RUE DES MARTINETS,92500,Hauts-de-Seine,Frankreich,48.8867489,2.165228,France
ВАРАНДЕЙСКИЙ ТЕРМИНАЛ,РП ИСКАТЕЛЕЙ,RU,5210,U1,341,ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО НЕФТЯНАЯ КОМПАНИЯ ЛУКОЙЛ,УЛ. РОССИХИНА Д. 4,166700,Ненецкий автономный округ,Russische Föderation,67.66324815,53.11621865654087,Russia
NEL ASA,OSLO,NO,7211,C2,30,DEUTSCHE BOERSE AG,KARENSLYST ALLÉ 49,0279,Oslo,Norwegen,59.921166,10.681725,Norway
SOLVAY CHEMIE B.V.,HERTEN,NL,2014,U1,59,SOLVAY,SCHEPERSWEG 1,6049 CV,Roermond,Niederlande,51.165009,5.956149,Netherlands
СРЕДНЕВОЛЖСКАЯ ГАЗОВАЯ КОМПАНИЯ,САМАРА,RU,3522,U1,4669,MR VLADIMIR EVGENYEVICH AVETISYAN,"УЛ. ЛЬВА ТОЛСТОГО, 18 «А» СТР. 7",443010,Самарская область,Russische Föderation,54.943941,82.96895,Russia
EVONIK CHEMICALS LIMITED,MANCHESTER,GB,2014,U1,54,RAG-STIFTUNG,CLAYTON LANE,M11 4SR,Manchester,Vereinigtes Königreich,53.4824259,-2.1831525,United Kingdom
PEAK SCIENTIFIC INSTRUMENTS LIMITED,RENFREW,GB,2711,U1,319,PEAK INTERNATIONAL GROUP LIMITED,"11 FOUNTAIN CRESCENT, INCHINNAN BUSINESS PARK, INCHINNAN",PA4 9RE,Renfrew,Vereinigtes Königreich,55.88450625,-4.453052102304151,United Kingdom
ICONICHEM WIDNES LIMITED,WIDNES,GB,2059,U1,66,CENGIZ HOLDING ANONIM SIRKETI,MOSS BANK ROAD,WA8 0RU,Widnes,Vereinigtes Königreich,,,United Kingdom
